# stamp t_recv t_estimated err ground_truth t_send
4985 1712823006.397751000 1712823006.377069817 8.67362e-19 1712823006.377632 1712823006.396545
5010 1712823006.422823000 1712823006.402069817 8.67362e-19 1712823006.402633 1712823006.421549
5035 1712823006.447617000 1712823006.427069817 8.67362e-19 1712823006.427634 1712823006.446539
5060 1712823006.472659000 1712823006.452069817 8.67362e-19 1712823006.452635 1712823006.471575
5085 1712823006.497779000 1712823006.477069817 8.67362e-19 1712823006.477636 1712823006.496553
5110 1712823006.522684000 1712823006.502069817 8.67362e-19 1712823006.502637 1712823006.521556
5135 1712823006.547724000 1712823006.527069817 8.67362e-19 1712823006.527638 1712823006.546578
5160 1712823006.572728000 1712823006.552069817 8.67362e-19 1712823006.552639 1712823006.571597
5185 1712823006.597748000 1712823006.577069817 8.67362e-19 1712823006.577640 1712823006.596582
5210 1712823006.622679000 1712823006.602069817 8.67362e-19 1712823006.602641 1712823006.621552
5235 1712823006.647675000 1712823006.627069817 8.67362e-19 1712823006.627642 1712823006.646561
5260 1712823006.672681000 1712823006.652069817 8.67362e-19 1712823006.652643 1712823006.671606
5285 1712823006.697906000 1712823006.677069817 8.67362e-19 1712823006.677644 1712823006.696560
5310 1712823006.722790000 1712823006.702069817 8.67362e-19 1712823006.702645 1712823006.721617
5335 1712823006.747765000 1712823006.727069817 8.67362e-19 1712823006.727646 1712823006.746548
5360 1712823006.772780000 1712823006.752069817 8.67362e-19 1712823006.752647 1712823006.771592
5385 1712823006.797739000 1712823006.777069817 8.67362e-19 1712823006.777648 1712823006.796583
5410 1712823006.822740000 1712823006.802069817 8.67362e-19 1712823006.802649 1712823006.821609
5435 1712823006.847758000 1712823006.827069817 8.67362e-19 1712823006.827650 1712823006.846569
5460 1712823006.872790000 1712823006.852069817 8.67362e-19 1712823006.852651 1712823006.871569
5485 1712823006.897776000 1712823006.877069817 8.67362e-19 1712823006.877652 1712823006.896569
5510 1712823006.922703000 1712823006.902069817 8.67362e-19 1712823006.902653 1712823006.921612
5535 1712823006.947811000 1712823006.927069817 8.67362e-19 1712823006.927654 1712823006.946591
5560 1712823006.972687000 1712823006.952069817 8.67362e-19 1712823006.952655 1712823006.971605
5585 1712823006.997713000 1712823006.977069817 8.67362e-19 1712823006.977656 1712823006.996571
5610 1712823007.022718000 1712823007.002069817 8.67362e-19 1712823007.002657 1712823007.021578
5635 1712823007.047831000 1712823007.027069817 8.67362e-19 1712823007.027658 1712823007.046561
5660 1712823007.072756000 1712823007.052069817 8.67362e-19 1712823007.052659 1712823007.071618
5685 1712823007.097699000 1712823007.077069817 8.67362e-19 1712823007.077660 1712823007.096622
5710 1712823007.122761000 1712823007.102069817 8.67362e-19 1712823007.102661 1712823007.121618
5735 1712823007.147784000 1712823007.127069817 8.67362e-19 1712823007.127662 1712823007.146626
5760 1712823007.172766000 1712823007.152069817 8.67362e-19 1712823007.152663 1712823007.171573
5785 1712823007.197813000 1712823007.177069817 8.67362e-19 1712823007.177664 1712823007.196577
5810 1712823007.222799000 1712823007.202069817 8.67362e-19 1712823007.202665 1712823007.221623
5835 1712823007.247689000 1712823007.227069817 8.67362e-19 1712823007.227666 1712823007.246569
5860 1712823007.272774000 1712823007.252069817 8.67362e-19 1712823007.252667 1712823007.271594
5885 1712823007.297769000 1712823007.277069817 8.67362e-19 1712823007.277668 1712823007.296587
5910 1712823007.322883000 1712823007.302069817 8.67362e-19 1712823007.302669 1712823007.321679
5935 1712823007.347831000 1712823007.327069817 8.67362e-19 1712823007.327670 1712823007.346619
5960 1712823007.372757000 1712823007.352069817 8.67362e-19 1712823007.352671 1712823007.371626
5985 1712823007.397665000 1712823007.377069817 8.67362e-19 1712823007.377672 1712823007.396574
6010 1712823007.422786000 1712823007.402069817 8.67362e-19 1712823007.402673 1712823007.421599
6035 1712823007.447795000 1712823007.427069817 8.67362e-19 1712823007.427674 1712823007.446579
6060 1712823007.472753000 1712823007.452069817 8.67362e-19 1712823007.452675 1712823007.471610
6085 1712823007.497794000 1712823007.477069817 8.67362e-19 1712823007.477676 1712823007.496578
6110 1712823007.522728000 1712823007.502069817 8.67362e-19 1712823007.502677 1712823007.521625
6135 1712823007.547722000 1712823007.527069817 8.67362e-19 1712823007.527678 1712823007.546614
6160 1712823007.572633000 1712823007.552069817 8.67362e-19 1712823007.552679 1712823007.571592
6185 1712823007.597761000 1712823007.577069817 8.67362e-19 1712823007.577680 1712823007.596610
6210 1712823007.622716000 1712823007.602069817 8.67362e-19 1712823007.602681 1712823007.621621
6235 1712823007.647727000 1712823007.627069817 8.67362e-19 1712823007.627682 1712823007.646596
6260 1712823007.672788000 1712823007.652069817 8.67362e-19 1712823007.652683 1712823007.671597
6285 1712823007.697794000 1712823007.677069817 8.67362e-19 1712823007.677684 1712823007.696587
6310 1712823007.722784000 1712823007.702069817 8.67362e-19 1712823007.702685 1712823007.721651
6335 1712823007.747717000 1712823007.727069817 8.67362e-19 1712823007.727686 1712823007.746629
6360 1712823007.772788000 1712823007.752069817 8.67362e-19 1712823007.752687 1712823007.771650
6385 1712823007.797679000 1712823007.777069817 8.67362e-19 1712823007.777688 1712823007.796594
6410 1712823007.822737000 1712823007.802069817 8.67362e-19 1712823007.802689 1712823007.821598
6435 1712823007.847815000 1712823007.827069817 8.67362e-19 1712823007.827690 1712823007.846611
6460 1712823007.872755000 1712823007.852069817 8.67362e-19 1712823007.852691 1712823007.871641
6485 1712823007.897766000 1712823007.877069817 8.67362e-19 1712823007.877692 1712823007.896597
6510 1712823007.922757000 1712823007.902069817 8.67362e-19 1712823007.902693 1712823007.921623
6535 1712823007.947931000 1712823007.927069817 8.67362e-19 1712823007.927694 1712823007.946629
6560 1712823007.972847000 1712823007.952069817 8.67362e-19 1712823007.952695 1712823007.971645
6585 1712823007.997733000 1712823007.977069817 8.67362e-19 1712823007.977696 1712823007.996629
6610 1712823008.022744000 1712823008.002069817 8.67362e-19 1712823008.002697 1712823008.021661
6635 1712823008.047895000 1712823008.027069817 8.67362e-19 1712823008.027698 1712823008.046639
6660 1712823008.072710000 1712823008.052069817 8.67362e-19 1712823008.052699 1712823008.071626
6685 1712823008.097702000 1712823008.077069817 8.67362e-19 1712823008.077700 1712823008.096618
6710 1712823008.122728000 1712823008.102069817 8.67362e-19 1712823008.102701 1712823008.121628
6735 1712823008.147954000 1712823008.127069817 8.67362e-19 1712823008.127702 1712823008.146637
6760 1712823008.172855000 1712823008.152069817 8.67362e-19 1712823008.152703 1712823008.171631
6785 1712823008.197813000 1712823008.177069817 8.67362e-19 1712823008.177704 1712823008.196623
